,0
1151,Southern Mississippi
1152,Marshall
1153,Middle Tennessee State
1154,North Texas
1155,UTEP
1156,Massachusetts
1157,Iowa
1158,Boston College
1159,Michigan
1160,Maryland
1161,Indiana
1162,Minnesota
1163,Liberty
1164,Illinois
1165,Ohio State
1166,Michigan State
1167,Penn State
1168,Weber State
1169,UCLA
1170,New Mexico State
1171,Utah State
1172,Colorado State
1173,Wyoming
1174,San Jose State
1175,Nevada-Las Vegas
1176,Nevada
1177,Fresno State
1178,Hawaii
1179,BYU
1180,Central Michigan
1181,Northern Colorado
1182,Tulsa
1183,Arkansas
1184,Air Force
1185,New Mexico
1186,Nevada
1187,San Diego State
1188,Army
1189,Boise State
1190,Hawaii
1191,Nevada-Las Vegas
1192,Fresno State
1193,Arkansas State
1194,North Texas
1195,Texas State
1196,Texas Christian
1197,South Florida
1198,Tulsa
1199,Temple
1200,Houston
1201,Memphis
1202,East Carolina
1203,Navy
1204,Tulane
1205,Florida Atlantic
1206,Nebraska
1207,Jackson State
1208,Memphis
1209,UAB
1210,Louisiana-Monroe
1211,Georgia Southern
1212,Troy
1213,Appalachian State
1214,Texas State
1215,Louisiana
1216,Georgia State
1217,Arkansas State
1218,North Carolina
1219,Charleston Southern
1220,Alabama
1221,Missouri
1222,Kentucky
1223,Georgia
1224,Florida
1225,Tennessee
1226,Vanderbilt
1227,Appalachian State
1228,Texas A&M
1229,Clemson
1230,Wisconsin
1231,Georgia Tech
1232,South Carolina State
1233,SMU
1234,Connecticut
1235,BYU
1236,Navy
1237,East Carolina
1238,Temple
1239,Cincinnati
1240,Memphis
1241,UCF
1242,Alcorn State
1243,Mississippi State
1244,Troy
1245,Alabama
1246,UTEP
1247,North Texas
1248,Louisiana Tech
1249,Rice
1250,UAB
1251,UTSA
1252,Western Kentucky
1253,Florida Atlantic
1254,Tulane
1255,Northwestern
1256,USC
1257,UCF
1258,Oregon
1259,Oregon State
1260,Washington
1261,UCLA
1262,Arizona
1263,Colorado
1264,Washington State
1265,California
1266,Notre Dame
1267,Liberty
1268,Maryland
1269,Clemson
1270,Western Michigan
1271,Holy Cross
1272,North Carolina State
1273,Pitt
1274,Florida State
1275,Boston College
1276,Duke
1277,Louisville
1278,Wake Forest
1279,Bucknell
1280,Maryland
1281,Buffalo
1282,Georgia Tech
1283,East Carolina
1284,Memphis
1285,SMU
1286,UCF
1287,South Florida
1288,Tulane
1289,Cincinnati
1290,Connecticut
1291,North Carolina
1292,Georgia State
1293,BYU
1294,Chattanooga
1295,Florida
1296,Georgia
1297,Mississippi State
1298,Alabama
1299,South Carolina
1300,UAB
1301,Kentucky
1302,Missouri
1303,Vanderbilt
1304,Indiana
1305,Louisiana Tech
1306,LSU
1307,Rice
1308,Oklahoma State
1309,West Virginia
1310,Oklahoma
1311,Kansas
1312,Texas Christian
1313,Kansas State
1314,Iowa State
1315,Baylor
1316,Texas Tech
1317,Utah
1318,Texas State
1319,Clemson
1320,Lamar
1321,Auburn
1322,Arkansas
1323,Alabama
1324,Ole Miss
1325,Mississippi State
1326,UTSA
1327,South Carolina
1328,Georgia
1329,LSU
1330,Oklahoma State
